trait	trait_id	annotation	published_label	is_primary	annotation_interpretation	enrichment_off	enrichment_on	absolute_change	relative_change_percent	annotation_h2_off	annotation_h2_on	annotation_weight_sum	annotation_weight_fraction	status_off	status_on	optimizer
weight	21002_irnt	Intron_UCSC.flanking.500		False	type_not_verified	7.856733392639633	7.802175296033638	-0.05455809660599531	-0.6944119633371604	0.02186575877242802	0.021742513618872826	69828.0	0.009673967028879344	stationary	stationary	ai
weight	21002_irnt	PromoterFlanking_Hoffman		False	type_not_verified	1.1050816675999608	1.1907942288581415	0.08571256125818061	7.756219632557371	0.0026820187543607323	0.002893847680231283	60894.0	0.00843625119230937	stationary	stationary	ai
weight	21002_irnt	PromoterFlanking_Hoffman.flanking.500		False	type_not_verified	2.558112364109715	2.570689400129332	0.012577036019616905	0.49165299367113224	0.01811226953174369	0.01822528688012691	177648.0	0.024611343511862827	stationary	stationary	ai
weight	21002_irnt	Promoter_UCSC	Promoter	True	published_binary	3.05881123285778	3.053801529661697	-0.00500970319608296	-0.16377941673120233	0.03969203158956284	0.039679205808931736	325580.0	0.04510583412474275	stationary	stationary	ai
weight	21002_irnt	Promoter_UCSC.flanking.500		False	type_not_verified	1.6243504402142868	1.678810504067333	0.05446006385304614	3.3527287280361584	0.004807721531452498	0.004975454546673953	74262.0	0.010288253129097752	stationary	stationary	ai
weight	21002_irnt	Repressed_Hoffman	Repressed	True	published_binary	0.6939733269856437	0.6943408936137991	0.0003675666281554024	0.05296552675186916	0.09124594036466713	0.09141448723712815	3298966.0	0.4570385563583945	stationary	stationary	ai
weight	21002_irnt	Repressed_Hoffman.flanking.500		False	type_not_verified	0.749453700589066	0.7483996078535404	-0.0010540927355255914	-0.14064814606921106	0.056131999690436106	0.056126862766193185	1879199.0	0.2603441193604719	stationary	stationary	ai
weight	21002_irnt	SuperEnhancer_Hnisz		False	type_not_verified	1.7010602701486908	1.6981842232253963	-0.002876046923294462	-0.16907378143885543	0.08320631552988372	0.08317501782840982	1227280.0	0.17002729929545513	stationary	stationary	ai
weight	21002_irnt	SuperEnhancer_Hnisz.flanking.500		False	verified_binary	0.7756712922892626	1.0116523320343986	0.23598103974513607	30.422814675618316	0.0006958988944582292	0.0009088060842746006	22510.0	0.003118534081171937	stationary	stationary	ai
weight	21002_irnt	TFBS_ENCODE		False	type_not_verified	2.205685203507416	2.201315912442873	-0.0043692910645432015	-0.19809223263570486	0.08465785488095635	0.08460141244134323	963010.0	0.13341534897864893	stationary	stationary	ai
weight	21002_irnt	TFBS_ENCODE.flanking.500		False	type_not_verified	1.0081544003237417	1.0155483043067914	0.007393903983049732	0.7334098805376721	0.0618500633801251	0.062385720489512096	1539289.0	0.21325300787530296	stationary	stationary	ai
weight	21002_irnt	Transcr_Hoffman		False	type_not_verified	1.1723084082109843	1.1692218180886187	-0.0030865901223655623	-0.2632916475516778	0.11888639218045767	0.11872951384842736	2544470.0	0.35251072472321454	stationary	stationary	ai
weight	21002_irnt	Transcr_Hoffman.flanking.500		False	type_not_verified	0.7155233725240431	0.7197773044772302	0.004253931953187129	0.5945203352590855	0.0859316636791762	0.08655637403345368	3013259.0	0.41745672531755085	stationary	stationary	ai
weight	21002_irnt	TSS_Hoffman		False	type_not_verified	5.690531604612363	5.636698961231683	-0.05383264338068017	-0.9460037676804589	0.02932451663561028	0.02908535536839669	129296.0	0.017912660264735973	stationary	stationary	ai
weight	21002_irnt	TSS_Hoffman.flanking.500		False	type_not_verified	2.432491151139885	2.471648266394782	0.03915711525489707	1.6097536567213355	0.011332779065849391	0.011530372330966418	116894.0	0.01619448791135106	stationary	stationary	ai
weight	21002_irnt	UTR_3_UCSC		False	type_not_verified	5.849978289532467	5.8076556093307685	-0.04232268020169805	-0.7234673037578188	0.01914376576287743	0.01903029336323077	82107.0	0.011375098969470646	stationary	stationary	ai
weight	21002_irnt	UTR_3_UCSC.flanking.500		False	type_not_verified	2.5916383126684535	2.6181313632607237	0.02649305059227025	1.022251078121772	0.011142330995737594	0.011271056010712979	107872.0	0.01494458055993688	stationary	stationary	ai
weight	21002_irnt	UTR_5_UCSC		False	type_not_verified	5.511430839561115	5.500309058527325	-0.011121781033789802	-0.20179480351921741	0.008681748436233795	0.008675638335923807	39523.0	0.005475514104405085	stationary	stationary	ai
weight	21002_irnt	UTR_5_UCSC.flanking.500		False	type_not_verified	2.8576618707326777	2.8515902664091466	-0.0060716043235311545	-0.2124675555815303	0.01736302955076359	0.01734895412573048	152448.0	0.02112013698829407	stationary	stationary	ai
weight	21002_irnt	WeakEnhancer_Hoffman		False	type_not_verified	1.9010048903481016	1.9268136331420933	0.0258087427939917	1.357636843809784	0.011837729108996381	0.012014242251460546	156240.0	0.021645480446126318	stationary	stationary	ai
