annotation	exact	screened	absolute_change	relative_change_percent
MAFbin4	0.925686211398409	0.9256138395946397	-7.237180376928887e-05	-0.007818178868623793
MAFbin5	1.3749116382524353	1.3750875468144557	0.00017590856202032157	0.012794172158137052
MAFbin6	1.3052091355178936	1.3051863574565201	-2.2778061373518455e-05	-0.001745165640787416
MAFbin7	1.707791150594284	1.7077970734454047	5.922851120665484e-06	0.00034681355027821326
MAFbin8	1.5327899990528149	1.532780986321478	-9.012731336799362e-06	-0.0005879951814891093
MAFbin9	1.6528110737745338	1.6528286813836588	1.7607609124947743e-05	0.0010653128723836502
MAFbin10	1.6832357809900411	1.6832385238037595	2.742813718370485e-06	0.00016294887201784292
MAF_Adj_Predicted_Allele_Age	-53.06772802624021	-53.06363193251618	0.00409609372402997	-0.007718615204332924
MAF_Adj_LLD_AFR	17.739420352940872	17.738586405951082	-0.00083394698978978	-0.004701094924175475
Recomb_Rate_10kb	0.9092156585108608	0.9092261871163656	1.0528605504767086e-05	0.001157987701394525
Nucleotide_Diversity_10kb	0.843502332233837	0.8435112285412819	8.896307444938856e-06	0.0010546867631466839
Backgrd_Selection_Stat	1.4059462634500908	1.405933771295154	-1.2492154936705191e-05	-0.000888522930175828
CpG_Content_50kb	1.2105660972644576	1.2105685052616797	2.4079972220647505e-06	0.00019891497271551373
MAF_Adj_ASMC	35.18315836918751	35.1828605969886	-0.00029777219891258255	-0.0008463486870224912
GTEx_eQTL_MaxCPP	4.250189328285921	4.249852697727937	-0.00033663055798349717	-0.00792036617623948
BLUEPRINT_H3K27acQTL_MaxCPP	2.393353700259767	2.3933206657114012	-3.3034548365673544e-05	-0.0013802618627600793
BLUEPRINT_H3K4me1QTL_MaxCPP	2.7688297022100223	2.7685833800605484	-0.00024632214947395425	-0.008896254951229476
BLUEPRINT_DNA_methylation_MaxCPP	2.857500399016673	2.85759764501032	9.724599364702158e-05	0.0034031839043935364
synonymous	2.9271257984988703	2.927014915117743	-0.00011088338112719143	-0.0037881317292209893
non_synonymous	17.916922462789135	17.916577550942016	-0.00034491184711882283	-0.0019250618951693887
Conserved_Vertebrate_phastCons46way	8.375940354822315	8.37631250732989	0.00037215250757505203	0.004443113152796663
Conserved_Vertebrate_phastCons46way.flanking.500	1.22547830961332	1.2253378485018902	-0.00014046111142973494	-0.011461737864137955
Conserved_Mammal_phastCons46way	9.906148296916443	9.906266877721452	0.00011858080500815049	0.0011970424977914007
